Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Clyde Lovellette*,,72,434.9090909,11
Clyde Mayes,42,65,24.8,5
Coby Dietrick,57,82,172.8571429,7
Coby Karl,2,17,7.75,4
Cody Zeller,63,82,207,4
Cole Aldrich,68,62,52.66666667,9
Conner Henry,5,54,30.85714286,7
Connie Dierking,,82,229.2857143,14
Connie Hawkins*,81,81,379.6666667,9
Connie Norman,7,65,92.33333333,3
Connie Rea,,20,9,1
Connie Simmons,,72,210.4285714,7
Corey Beck,7,59,22.2,5
Corey Benjamin,22,65,79.25,4
Corey Brewer,30,82,198.125,16
Corey Crowder,2,51,22.5,2
Corey Gaines,2,32,18.4,5
Corey Maggette,26,77,290.3571429,14
Corey Williams,2,35,18,2
Corie Blount,35,72,72.94117647,17
Corky Calhoun,35,82,133.2,10
Corky Devlin,,71,186.6666667,3
Corliss Williamson,49,82,262.5625,16
Cornelius Cash,1,6,9,1
Cornell Warner,54,81,139.8181818,11
Corny Thompson,7,44,43,1
Corsley Edwards,4,10,10,1
Cory Alexander,16,80,84.22222222,9
Cory Blackwell,3,60,87,1
Cory Carr,7,42,71,1
Cory Higgins,6,38,29,2
Cory Jefferson,21,50,42,2
