Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Willy Hernangomez,36,72,246,1
Wilson Chandler,94,82,293.6363636,11
Wilson Washington,67,62,104.5,4
Wilt Chamberlain*,,82,859,16
Win Wilfong,,72,171,4
Winford Boynes,19,69,199.3333333,3
Winston Bennett,10,55,67.4,5
Winston Crite,8,29,17,2
Winston Garland,22,79,238,9
Woody Sauldsberry,,77,283.8888889,9
World B.,41,78,477.4,15
Worthy Patterson,,4,3,1
Xavier Henry,8,50,73.6,5
Xavier McDaniel,52,82,447.3571429,14
Xavier Munford,3,14,32,1
Xavier Silas,0,2,4,1
Yakhouba Diawara,7,64,58.25,4
Yao Ming*,160,82,422.5,8
Yaroslav Korolev,0,24,6.5,2
Yi Jianlian,56,66,162.6,5
Yinka Dare,40,58,21.5,4
Yogi Ferrell,9,46,106.6666667,3
York Larese,,59,81.33333333,3
Yuta Tabuse,0,4,1,1
Yvon Joseph,0,1,0,1
Zabian Dowdell,2,24,51,1
Zach LaVine,17,82,348.3333333,3
Zach Randolph,41,81,416.1111111,18
Zaid Abdul-Aziz,104,80,138.2857143,14
Zan Tabak,38,67,84.875,8
Zarko Cabarkapa,13,61,64,5
Zarko Paspalj,7,28,27,1
Zaza Pachulia,39,79,169.5714286,14
Zeke Sinicola,,9,2.5,2
Zeke Zawoluk,,71,132,3
Zeljko Rebraca,73,74,74.57142857,7
Zelmo Beaty*,29,82,424.5,8
Zendon Hamilton,18,54,22.875,8
Zoran Dragic,0,16,7.333333333,3
Zoran Planinic,4,56,65.66666667,3
Zydrunas Ilgauskas,201,82,323.6153846,13
(blank),,,,
Grand Total,456,88,195.3258203,24624
